page,text,ch,ch_num
6,                                previous | Table of Contents | next,Prologue,0
6,                                       PROLOGUE,Prologue,0
6,"We should start back,” Gared urged as the woods began to grow dark around them. “The",Prologue,0
6,wildlings are dead.”,Prologue,0
6,“Do the dead frighten you?” Ser Waymar Royce asked with just the hint of a smile.,Prologue,0
6,"Gared did not rise to the bait. He was an old man, past fifty, and he had seen the",Prologue,0
6,"lordlings come and go. “Dead is dead,” he said. “We have no business with the dead.”",Prologue,0
6,“Are they dead?” Royce asked softly. “What proof have we?”,Prologue,0
6,"“Will saw them,” Gared said. “If he says they are dead, that’s proof enough for me.”",Prologue,0
6,Will had known they would drag him into the quarrel sooner or later. He wished it had,Prologue,0
6,"been later rather than sooner. “My mother told me that dead men sing no songs,” he put",Prologue,0
6,in.,Prologue,0
6,"“My wet nurse said the same thing, Will,” Royce replied. “Never believe anything you",Prologue,0
6,hear at a woman’s tit. There are things to be learned even from the dead.” His voice,Prologue,0
6,"echoed, too loud in the twilit forest.",Prologue,0
6,"“We have a long ride before us,” Gared pointed out. “Eight days, maybe nine. And night",Prologue,0
6,is falling.”,Prologue,0
6,Ser Waymar Royce glanced at the sky with disinterest. “It does that every day about this,Prologue,0
6,"time. Are you unmanned by the dark, Gared?”",Prologue,0
6,"Will could see the tightness around Gared’s mouth, the barely suppressed anger in his",Prologue,0
6,eyes under the thick black hood of his cloak. Gared had spent forty years in the Night’s,Prologue,0
6,"Watch, man and boy, and he was not accustomed to being made light of. Yet it was more",Prologue,0
6,"than that. Under the wounded pride, Will could sense something else in the older man.",Prologue,0
6,You could taste it; a nervous tension that came perilous close to fear.,Prologue,0
6,Will shared his unease. He had been four years on the Wall. The first time he had been,Prologue,0
6,"sent beyond, all the old stories had come rushing back, and his bowels had turned to",Prologue,0
6,water. He had laughed about it afterward. He was a veteran of a hundred rangings by,Prologue,0
6,,Prologue,0
7,"now, and the endless dark wilderness that the southron called the haunted forest had no",Prologue,0
7,more terrors for him.,Prologue,0
7,Until tonight. Something was different tonight. There was an edge to this darkness that,Prologue,0
7,"made his hackles rise. Nine days they had been riding, north and northwest and then",Prologue,0
7,"north again, farther and farther from the Wall, hard on the track of a band of wildling",Prologue,0
7,raiders. Each day had been worse than the day that had come before it. Today was the,Prologue,0
7,"worst of all. A cold wind was blowing out of the north, and it made the trees rustle like",Prologue,0
7,"living things. All day, Will had felt as though something were watching him, something",Prologue,0
